<TICKER>,<PER>,<DATE>,<TIME>,<USD_OPEN>,<USD_HIGH>,<USD_LOW>,<USD_CLOSE>,<USD_VOL>
USDRUB,60,20151104,170000,62.6532000,62.7092000,62.3680000,62.5255000,9627
USDRUB,60,20151104,180000,62.5402000,62.5965000,62.4250000,62.5142000,8458
USDRUB,60,20151104,190000,62.5338000,62.6600000,62.3727000,62.4850000,10517
USDRUB,60,20151104,200000,62.4850000,62.6150000,62.2011000,62.3007000,10715
USDRUB,60,20151104,210000,62.3007000,62.9695000,62.2400000,62.8465000,12821
USDRUB,60,20151104,220000,62.8613000,63.2131000,62.7600000,62.9975000,10896
USDRUB,60,20151104,230000,62.9975000,63.2183000,62.9527000,63.0632000,11574
USDRUB,60,20151105,000000,63.0779000,63.2430000,62.9286000,62.9711000,9300
USDRUB,60,20151105,010000,63.1920000,63.3148000,62.9225000,63.0701000,8503
USDRUB,60,20151105,020000,63.0701000,63.2350000,62.9223000,63.1101000,4539
USDRUB,60,20151105,030000,63.2050000,63.3534000,62.9447000,63.0291000,2942
