<TICKER>,<PER>,<DATE>,<TIME>,<AF_OPEN>,<AF_HIGH>,<AF_LOW>,<AF_CLOSE>,<AF_VOL>
DJ.A1FIN,60,20151104,020000,250.2053632,250.2211527,250.1843106,250.2158896,132
DJ.A1FIN,60,20151104,030000,250.2211527,250.2369422,250.2106264,250.2316790,140
DJ.A1FIN,60,20151104,040000,250.2369422,250.2422054,250.2211527,250.2316790,121
DJ.A1FIN,60,20151104,050000,250.2264159,250.2369422,250.2106264,250.2106264,113
DJ.A1FIN,60,20151104,060000,250.2211527,250.2316790,250.2001001,250.2211527,116
DJ.A1FIN,60,20151104,070000,250.2264159,250.2316790,250.2106264,250.2106264,157
DJ.A1FIN,60,20151104,080000,250.2158896,250.2264159,250.1895738,250.2158896,249
DJ.A1FIN,60,20151104,090000,250.2053632,250.2264159,250.1632580,250.1685211,336
DJ.A1FIN,60,20151104,100000,250.1632580,250.1948369,250.1527316,250.1790474,307
DJ.A1FIN,60,20151104,110000,250.1737843,250.2001001,250.1685211,250.1948369,288
DJ.A1FIN,60,20151104,120000,250.2001001,250.2211527,250.1790474,250.2053632,322
DJ.A1FIN,60,20151104,130000,250.2158896,250.3369422,250.2053632,250.2422054,352
DJ.A1FIN,60,20151104,140000,250.2369422,250.2895738,250.1527316,250.1527316,367
DJ.A1FIN,60,20151104,150000,250.1579948,250.7316792,249.4737840,249.7158894,506
DJ.A1FIN,60,20151104,160000,249.7843104,250.2737843,249.4527314,250.0474684,578
DJ.A1FIN,60,20151104,170000,250.0422053,250.0422053,249.2527313,249.5316788,552
DJ.A1FIN,60,20151104,180000,249.5264156,250.1474685,249.4474682,249.6685209,495
DJ.A1FIN,60,20151104,190000,249.6737841,249.7211525,248.9737838,249.2053628,484
DJ.A1FIN,60,20151104,200000,249.2000997,249.7106262,249.1527312,249.5000998,502
DJ.A1FIN,60,20151104,210000,249.5106261,249.5527314,248.8790469,249.2895734,507
DJ.A1FIN,60,20151104,220000,249.3106260,249.3211524,249.2790471,249.3000997,169
DJ.A1FIN,60,20151105,010000,249.2843102,249.3000997,249.2685208,249.2737839,138
DJ.A1FIN,60,20151105,020000,249.2790471,249.2843102,249.2579944,249.2843102,136
DJ.A1FIN,60,20151105,030000,249.2790471,249.3000997,249.2790471,249.2895734,127
DJ.A1FIN,60,20151105,040000,249.2948366,249.3000997,249.2843102,249.2948366,120
DJ.A1FIN,60,20151105,050000,249.3000997,249.3000997,249.2790471,249.2843102,157
DJ.A1FIN,60,20151105,060000,249.2895734,249.2948366,249.2737839,249.2843102,98
DJ.A1FIN,60,20151105,070000,249.2895734,249.2948366,249.2790471,249.2843102,215
DJ.A1FIN,60,20151105,080000,249.2790471,249.3053629,249.2422050,249.2422050,306
DJ.A1FIN,60,20151105,090000,249.2369418,249.3158892,249.2369418,249.3053629,387
DJ.A1FIN,60,20151105,100000,249.3000997,249.3211524,249.2579944,249.2632576,354
DJ.A1FIN,60,20151105,110000,249.2579944,249.2843102,249.2422050,249.2685208,345
DJ.A1FIN,60,20151105,120000,249.2579944,249.2948366,249.2264155,249.2790471,372
